FECHA;DIA;Gr07TMax;Gr07HTMax;Gr07TMin;Gr07HTMin;Gr07TMed;Gr07HumMax;Gr07HumMin;Gr07HumMed;Gr07VelViento;Gr07DirViento;Gr07Rad;Gr07Precip;Gr07ETo
17/04/23;107;19.5;11:24;7.3;5:24;13.4;75.9;27.2;51.2;1.4;99.2;26.3;0.0;4.2
16/04/23;106;19.5;11:40;8.0;23:54;14.7;76.2;28.1;47.6;1.3;121.2;24.6;0.0;4.0
15/04/23;105;24.7;15:04;10.1;5:42;17.5;54.3;18.0;36.1;1.2;268.3;26.1;0.0;4.7
14/04/23;104;23.1;15:14;8.2;3:10;15.5;42.7;18.6;28.8;1.1;257.7;25.2;0.0;4.4
13/04/23;103;21.1;13:44;9.2;5:50;14.4;66.2;12.1;43.3;1.2;254.5;25.2;0.0;4.3
12/04/23;102;25.3;14:42;10.7;5:56;17.6;53.6;13.5;34.5;1.5;258.9;25.6;0.0;5.1
11/04/23;101;26.3;12:24;13.6;5:44;19.4;41.7;14.8;27.3;0.6;253.9;25.4;0.0;4.1
10/04/23;100;26.5;13:06;13.3;5:40;19.8;38.5;10.3;26.6;0.7;231.7;24.0;0.0;4.1
09/04/23;99;24.3;15:10;10.1;4:52;17.4;43.9;15.6;28.2;0.9;227.6;24.8;0.0;4.2
08/04/23;98;23.7;11:58;9.2;00:56;16.5;51.8;12.1;27.6;0.5;176.1;25.8;0.0;3.8
07/04/23;97;19.2;12:36;5.4;4:34;12.5;71.8;9.9;32.6;1.5;101.8;25.9;0.0;4.2
06/04/23;96;19.9;13:28;7.9;23:40;13.6;39.3;5.7;17.4;2.5;105.8;23.7;0.0;5.2
05/04/23;95;17.7;13:10;6.3;3:48;12.2;54.2;14.2;33.9;2.4;103.9;25.5;0.0;4.6
04/04/23;94;17.1;11:38;5.9;4:46;11.3;76.2;34.5;55.0;1.5;105.0;19.2;0.0;3.2
03/04/23;93;19.3;12:58;6.4;6:06;12.1;76.1;16.2;45.2;0.8;207.7;25.1;0.0;3.6
02/04/23;92;19.0;13:52;8.0;23:02;12.8;80.7;43.8;61.5;0.9;219.1;18.6;0.0;2.9
01/04/23;91;22.7;15:06;11.7;5:40;16.7;64.8;26.4;44.9;1.1;258.4;22.4;0.0;3.9
31/03/23;90;26.7;13:02;11.7;6:34;18.4;54.9;13.3;32.8;1.1;259.1;22.2;0.0;4.3
30/03/23;89;26.3;14:50;11.8;00:16;18.5;43.3;15.3;27.4;0.8;255.8;23.6;0.0;4.0
29/03/23;88;22.6;15:06;8.8;3:20;15.8;63.2;14.4;38.5;1.3;111.1;24.1;0.0;4.2
28/03/23;87;20.1;12:14;8.6;1:12;14.3;56.8;24.3;43.2;1.5;103.0;23.0;0.0;4.0
27/03/23;86;20.9;12:06;9.2;23:50;14.9;52.3;24.9;39.7;0.9;148.3;20.3;0.0;3.4
