FECHA;DIA;Al05TMax;Al05HTMax;Al05TMin;Al05HTMin;Al05TMed;Al05HumMax;Al05HumMin;Al05HumMed;Al05VelViento;Al05DirViento;Al05Rad;Al05Precip;Al05ETo
17/04/23;107;19.9;13:56;5.0;3:06;12.4;76.6;23.9;47.3;1.4;167.6;26.4;0.0;4.2
16/04/23;106;20.5;13:28;6.4;23:48;14.3;73.2;30.4;45.3;2.2;197.6;26.0;0.0;4.6
15/04/23;105;23.2;13:22;10.6;4:00;17.2;58.2;12.5;32.7;4.1;306.3;26.2;0.0;6.8
14/04/23;104;22.0;15:08;6.6;3:14;15.2;45.2;12.1;24.7;3.9;306.1;23.9;0.0;6.3
13/04/23;103;20.8;14:08;9.2;5:32;14.3;71.6;7.3;34.1;4.1;306.9;24.7;0.0;6.2
12/04/23;102;24.7;13:58;12.8;--:--;18.4;51.9;11.2;26.3;4.4;306.3;25.2;0.0;7.4
11/04/23;101;26.1;13:10;11.2;5:14;19.1;47.1;11.7;23.5;1.7;247.4;24.8;0.0;5.3
10/04/23;100;26.4;14:14;12.3;6:12;19.9;26.8;9.1;17.3;2.5;303.5;23.5;0.0;6.2
09/04/23;99;25.3;14:06;8.4;5:36;17.1;34.9;9.1;21.5;1.8;257.4;24.7;0.0;5.3
08/04/23;98;24.5;12:14;6.8;2:42;15.3;45.1;8.1;23.0;1.4;189.4;25.4;0.0;4.8
07/04/23;97;19.3;13:30;2.7;5:42;11.2;53.6;5.4;30.6;1.3;177.0;25.2;0.0;4.1
06/04/23;96;18.5;14:16;4.4;2:34;10.9;56.0;8.4;27.9;1.7;156.1;22.7;0.0;4.1
05/04/23;95;17.7;15:08;3.9;3:44;10.3;75.9;16.2;44.3;1.4;173.0;24.8;0.0;3.8
04/04/23;94;17.5;13:22;4.8;5:32;10.4;71.3;24.7;49.2;1.4;160.6;20.1;0.0;3.4
03/04/23;93;20.3;14:46;5.9;23:58;11.6;60.1;3.0;29.0;2.7;288.9;24.6;0.0;5.4
02/04/23;92;19.0;13:26;8.3;--:--;13.7;72.8;4.2;35.1;4.2;311.1;23.5;0.0;5.7
01/04/23;91;22.2;13:06;11.4;6:14;16.3;71.8;20.4;45.2;4.5;309.7;20.6;0.0;5.8
31/03/23;90;24.5;12:54;13.6;00:12;18.6;56.1;8.2;25.1;4.1;304.0;21.4;0.0;6.8
30/03/23;89;25.9;13:48;11.7;1:22;18.8;32.6;10.0;21.5;2.9;312.1;22.6;0.0;6.3
29/03/23;88;22.6;13:54;7.0;1:24;14.8;67.6;11.9;29.5;1.5;179.1;23.3;0.0;4.3
28/03/23;87;20.4;13:14;6.4;3:02;12.6;68.7;22.1;42.0;1.6;176.6;22.8;0.0;4.0
27/03/23;86;20.4;13:40;8.6;3:54;13.8;52.2;20.8;35.4;1.6;167.1;19.2;0.0;3.8
26/03/23;85;24.5;14:20;10.6;5:50;17.2;61.0;10.0;33.2;3.4;305.4;15.5;0.0;5.7
25/03/23;84;22.1;14:24;8.4;5:42;16.0;56.1;21.6;35.5;1.8;216.7;22.4;0.0;4.3
24/03/23;83;24.3;14:32;9.7;6:34;16.6;50.0;13.2;31.9;3.3;298.4;21.1;0.0;6.0
23/03/23;82;22.1;13:56;7.3;6:24;15.2;55.3;10.8;32.8;1.6;218.0;22.4;0.0;4.2
22/03/23;81;21.4;13:20;6.8;6:24;13.8;54.1;16.1;33.3;1.4;220.9;22.2;0.0;3.9
21/03/23;80;20.4;13:24;5.8;5:26;12.3;68.0;6.3;38.0;1.3;224.1;21.4;0.0;3.7
20/03/23;79;18.1;13:58;3.9;5:22;10.4;80.6;26.8;55.6;1.2;196.2;22.0;0.0;3.2
19/03/23;78;16.5;12:56;5.0;23:08;9.7;82.5;27.3;57.0;1.8;279.3;15.1;0.0;2.9
18/03/23;77;15.8;14:46;7.8;00:40;10.8;69.2;35.2;55.4;2.7;293.9;13.3;0.0;3.1
17/03/23;76;20.2;13:10;6.6;5:34;12.8;60.0;20.8;39.3;2.1;286.3;17.8;0.0;3.9
16/03/23;75;21.8;13:10;7.9;2:48;14.0;54.2;11.4;30.3;1.7;169.4;21.0;0.0;4.1
15/03/23;74;20.8;14:24;5.8;5:34;12.9;54.1;18.4;32.7;1.4;186.8;20.9;0.0;3.6
14/03/23;73;20.6;14:32;8.5;4:48;14.0;71.1;11.5;31.2;4.1;297.3;21.1;0.0;5.4
13/03/23;72;25.2;14:20;10.6;6:36;17.0;61.4;6.6;32.8;2.8;283.0;19.5;0.0;5.5
12/03/23;71;24.3;13:30;8.8;4:34;15.5;78.7;21.5;47.5;2.2;200.0;20.0;0.0;4.4
11/03/23;70;22.7;14:16;10.8;1:24;15.7;71.4;17.8;42.3;4.4;305.4;20.4;0.0;5.7
10/03/23;69;20.6;14:36;8.9;5:52;14.2;64.8;14.0;37.2;3.9;304.9;17.4;0.0;5.1
09/03/23;68;18.0;13:50;8.4;5:14;13.1;81.9;44.6;61.1;4.9;306.2;13.2;0.0;3.5
08/03/23;67;19.7;13:50;8.8;4:40;14.1;76.7;41.1;59.4;3.5;301.0;18.9;0.0;3.8
07/03/23;66;15.6;15:18;7.8;00:20;11.3;94.3;35.6;61.2;4.5;299.0;18.5;0.0;3.4
